# degauss   lambda    int alpha2F  <log w>     N(Ef)
  0.005    0.017862         NaN       NaN    1.331179
  0.010    0.229450         NaN       NaN    1.887341
  0.015    0.343475         NaN       NaN    2.125490
  0.020    0.360113         NaN       NaN    2.250530
  0.025    0.353925         NaN       NaN    2.329980
  0.030    0.344037         NaN       NaN    2.396057
  0.035    0.335512         NaN       NaN    2.455283
  0.040    0.329525         NaN       NaN    2.507982
  0.045    0.325487         NaN       NaN    2.553108
  0.050    0.322575         NaN       NaN    2.589738
