# Analisis de trayectoria
# Olla-DFT (entonces QEkit 0.12.0) — generado 2026-08-29 01:51 UTC
# comando: olla-dft md md.out -o . --skip 50 --no-plot
# parámetros: pasos = 250; dt_fs = 0.9676; T_media_K = 897.5
#    frecuencia(cm-1)          VDOS
      0.000000       0.255327
     34.473346       1.581003
     68.946692       3.563912
    103.420038       5.551505
    137.893384       7.299360
    172.366730      10.466053
    206.840076      17.399658
    241.313421      27.782223
    275.786767      39.415836
    310.260113      49.570807
    344.733459      55.767880
    379.206805      56.494369
    413.680151      51.690702
    448.153497      42.814089
    482.626843      32.442435
    517.100189      23.478939
    551.573535      17.835766
    586.046881      14.985090
    620.520227      13.092479
    654.993573      11.569863
    689.466919      10.802433
    723.940264      10.574916
    758.413610      10.140120
    792.886956       9.274427
    827.360302       8.415628
    861.833648       7.986027
    896.306994       7.832693
    930.780340       7.571359
    965.253686       7.104465
    999.727032       6.592687
   1034.200378       6.175800
   1068.673724       5.853733
   1103.147070       5.586676
   1137.620416       5.369891
   1172.093762       5.194517
   1206.567107       5.024319
   1241.040453       4.833947
   1275.513799       4.631289
   1309.987145       4.439240
   1344.460491       4.280225
   1378.933837       4.174164
   1413.407183       4.124597
   1447.880529       4.103674
   1482.353875       4.068333
   1516.827221       3.993459
   1551.300567       3.884270
   1585.773913       3.762733
   1620.247259       3.648330
   1654.720605       3.548475
   1689.193950       3.460453
   1723.667296       3.379589
   1758.140642       3.304598
   1792.613988       3.234694
   1827.087334       3.166018
   1861.560680       3.097095
   1896.034026       3.035115
   1930.507372       2.987972
   1964.980718       2.949994
   1999.454064       2.905099
   2033.927410       2.845944
   2068.400756       2.781802
   2102.874102       2.724935
   2137.347448       2.676515
   2171.820793       2.630714
   2206.294139       2.585718
   2240.767485       2.543698
   2275.240831       2.504210
   2309.714177       2.464377
   2344.187523       2.423988
   2378.660869       2.385471
   2413.134215       2.349688
   2447.607561       2.315341
   2482.080907       2.281809
   2516.554253       2.249728
