# Peso espectral desdoblado
# Olla-DFT (entonces QEkit 0.12.0) — generado 2026-08-29 02:28 UTC
# comando: olla-dft unfold . prim.cif -o . --bands 8 --format png
# parámetros: celdas = 2; E_fermi_eV = 6.081153373106648
#      distancia          E-EF(eV)          peso
      0.000000     -11.945847       1.000000
      0.000000      -9.600728       0.000000
      0.000000      -6.991643       0.000000
      0.000000      -1.207652       0.000000
      0.000000      -1.207651       0.000000
      0.000000      -0.000984       1.000000
      0.000000      -0.000983       1.000000
      0.000000      -0.000016       1.000000
      0.100210     -11.912999       1.000000
      0.100210      -9.737505       0.000000
      0.100210      -6.792906       0.000000
      0.100210      -1.189580       0.000000
      0.100210      -1.189580       0.000000
      0.100210      -0.359197       1.000000
      0.100210      -0.056855       1.000000
      0.100210      -0.056854       1.000000
      0.200420     -11.814787       1.000000
      0.200420     -10.059143       0.000000
      0.200420      -6.286069       0.000000
      0.200420      -1.147747       1.000000
      0.200420      -1.135177       0.000000
      0.200420      -1.135177       0.000000
      0.200420      -0.200859       1.000000
      0.200420      -0.200859       1.000000
      0.300630     -11.652201       1.000000
      0.300630     -10.438638       0.000000
      0.300630      -5.598965       0.000000
      0.300630      -2.068975       1.000000
      0.300630      -1.044981       0.000000
      0.300630      -1.044981       0.000000
      0.300630      -0.388685       1.000000
      0.300630      -0.388685       1.000000
      0.400840     -11.427732       1.000000
      0.400840     -10.810494       0.000000
      0.400840      -4.802506       0.000000
      0.400840      -3.012196       1.000000
      0.400840      -0.920631       0.000000
      0.400840      -0.920630       0.000000
      0.400840      -0.584248       1.000000
      0.400840      -0.584247       1.000000
      0.501050     -11.144670       0.500000
      0.501050     -11.144453       0.500000
      0.501050      -3.931991       0.500000
      0.501050      -3.931769       0.500000
      0.501050      -0.765654       0.500000
      0.501050      -0.765654       0.500000
      0.501050      -0.765526       0.500000
      0.501050      -0.765525       0.500000
      0.601259     -11.427732       0.000000
      0.601259     -10.810494       1.000000
      0.601259      -4.802506       1.000000
      0.601259      -3.012196       0.000000
      0.601259      -0.920631       1.000000
      0.601259      -0.920630       1.000000
      0.601259      -0.584248       0.000000
      0.601259      -0.584247       0.000000
      0.701469     -11.652201       0.000000
      0.701469     -10.438638       1.000000
      0.701469      -5.598965       1.000000
      0.701469      -2.068975       0.000000
      0.701469      -1.044981       1.000000
      0.701469      -1.044981       1.000000
      0.701469      -0.388685       0.000000
      0.701469      -0.388685       0.000000
      0.801679     -11.814787       0.000000
      0.801679     -10.059143       1.000000
      0.801679      -6.286069       1.000000
      0.801679      -1.147747       0.000000
      0.801679      -1.135177       1.000000
      0.801679      -1.135177       1.000000
      0.801679      -0.200859       0.000000
      0.801679      -0.200859       0.000000
      0.901889     -11.912999       0.000000
      0.901889      -9.737505       1.000000
      0.901889      -6.792906       1.000000
      0.901889      -1.189580       1.000000
      0.901889      -1.189580       1.000000
      0.901889      -0.359197       0.000000
      0.901889      -0.056855       0.000000
      0.901889      -0.056854       0.000000
      1.002099     -11.945847       0.000000
      1.002099      -9.600728       1.000000
      1.002099      -6.991643       1.000000
      1.002099      -1.207652       1.000000
      1.002099      -1.207651       1.000000
      1.002099      -0.000984       0.000000
      1.002099      -0.000983       0.000000
      1.002099      -0.000016       0.000000
      1.102309     -11.912999       0.000000
      1.102309      -9.737505       1.000000
      1.102309      -6.792906       1.000000
      1.102309      -1.189580       1.000000
      1.102309      -1.189580       1.000000
      1.102309      -0.359197       0.000000
      1.102309      -0.056855       0.000000
      1.102309      -0.056854       0.000000
      1.202519     -11.814787       0.000000
      1.202519     -10.059143       1.000000
      1.202519      -6.286069       1.000000
      1.202519      -1.147747       0.000000
      1.202519      -1.135177       1.000000
      1.202519      -1.135177       1.000000
      1.202519      -0.200859       0.000000
      1.202519      -0.200859       0.000000
      1.302729     -11.652201       0.000000
      1.302729     -10.438638       1.000000
      1.302729      -5.598965       1.000000
      1.302729      -2.068975       0.000000
      1.302729      -1.044981       1.000000
      1.302729      -1.044981       1.000000
      1.302729      -0.388685       0.000000
      1.302729      -0.388685       0.000000
      1.402939     -11.427732       0.000000
      1.402939     -10.810494       1.000000
      1.402939      -4.802506       1.000000
      1.402939      -3.012196       0.000000
      1.402939      -0.920631       1.000000
      1.402939      -0.920630       1.000000
      1.402939      -0.584248       0.000000
      1.402939      -0.584247       0.000000
      1.503149     -11.144670       0.500000
      1.503149     -11.144453       0.500000
      1.503149      -3.931991       0.500000
      1.503149      -3.931769       0.500000
      1.503149      -0.765654       0.500000
      1.503149      -0.765654       0.500000
      1.503149      -0.765526       0.500000
      1.503149      -0.765525       0.500000
      1.603359     -11.427732       1.000000
      1.603359     -10.810494       0.000000
      1.603359      -4.802506       0.000000
      1.603359      -3.012196       1.000000
      1.603359      -0.920631       0.000000
      1.603359      -0.920630       0.000000
      1.603359      -0.584248       1.000000
      1.603359      -0.584247       1.000000
      1.703568     -11.652201       1.000000
      1.703568     -10.438638       0.000000
      1.703568      -5.598965       0.000000
      1.703568      -2.068975       1.000000
      1.703568      -1.044981       0.000000
      1.703568      -1.044981       0.000000
      1.703568      -0.388685       1.000000
      1.703568      -0.388685       1.000000
      1.803778     -11.814787       1.000000
      1.803778     -10.059143       0.000000
      1.803778      -6.286069       0.000000
      1.803778      -1.147747       1.000000
      1.803778      -1.135177       0.000000
      1.803778      -1.135177       0.000000
      1.803778      -0.200859       1.000000
      1.803778      -0.200859       1.000000
      1.903988     -11.912999       1.000000
      1.903988      -9.737505       0.000000
      1.903988      -6.792906       0.000000
      1.903988      -1.189580       0.000000
      1.903988      -1.189580       0.000000
      1.903988      -0.359197       1.000000
      1.903988      -0.056855       1.000000
      1.903988      -0.056854       1.000000
      2.004198     -11.945847       1.000000
      2.004198      -9.600728       0.000000
      2.004198      -6.991643       0.000000
      2.004198      -1.207652       0.000000
