# Absorcion de rayos X cerca del borde
# Olla-DFT (entonces QEkit 0.12.0) — generado 2026-08-29 01:14 UTC
# comando: olla-dft xanes Si8.cif --collect -o run --element Si --edge K --format png
# parámetros: elemento = Si; borde = K; xgamma_eV = 0.8
#       E-EF(eV)           sigma         sigma_x         sigma_y         sigma_z
    -10.000000       0.000074       0.000074       0.000074       0.000074
     -9.959960       0.000074       0.000074       0.000074       0.000074
     -9.919920       0.000074       0.000074       0.000074       0.000074
     -9.879880       0.000075       0.000075       0.000075       0.000075
     -9.839840       0.000075       0.000075       0.000075       0.000075
     -9.799800       0.000076       0.000076       0.000076       0.000076
     -9.759760       0.000076       0.000076       0.000076       0.000076
     -9.719720       0.000076       0.000076       0.000076       0.000076
     -9.679680       0.000077       0.000077       0.000077       0.000077
     -9.639640       0.000077       0.000077       0.000077       0.000077
     -9.599600       0.000078       0.000078       0.000078       0.000078
     -9.559560       0.000078       0.000078       0.000078       0.000078
     -9.519520       0.000079       0.000079       0.000079       0.000079
     -9.479479       0.000079       0.000079       0.000079       0.000079
     -9.439439       0.000079       0.000079       0.000079       0.000079
     -9.399399       0.000080       0.000080       0.000080       0.000080
     -9.359359       0.000080       0.000080       0.000080       0.000080
     -9.319319       0.000081       0.000081       0.000081       0.000081
     -9.279279       0.000081       0.000081       0.000081       0.000081
     -9.239239       0.000082       0.000082       0.000082       0.000082
     -9.199199       0.000082       0.000082       0.000082       0.000082
     -9.159159       0.000083       0.000083       0.000083       0.000083
     -9.119119       0.000083       0.000083       0.000083       0.000083
     -9.079079       0.000084       0.000084       0.000084       0.000084
     -9.039039       0.000084       0.000084       0.000084       0.000084
     -8.998999       0.000084       0.000084       0.000084       0.000084
     -8.958959       0.000085       0.000085       0.000085       0.000085
     -8.918919       0.000085       0.000085       0.000085       0.000085
     -8.878879       0.000086       0.000086       0.000086       0.000086
     -8.838839       0.000086       0.000086       0.000086       0.000086
     -8.798799       0.000087       0.000087       0.000087       0.000087
     -8.758759       0.000087       0.000087       0.000087       0.000087
     -8.718719       0.000088       0.000088       0.000088       0.000088
     -8.678679       0.000089       0.000089       0.000089       0.000089
     -8.638639       0.000089       0.000089       0.000089       0.000089
     -8.598599       0.000090       0.000090       0.000090       0.000090
     -8.558559       0.000090       0.000090       0.000090       0.000090
     -8.518519       0.000091       0.000091       0.000091       0.000091
     -8.478478       0.000091       0.000091       0.000091       0.000091
     -8.438438       0.000092       0.000092       0.000092       0.000092
     -8.398398       0.000092       0.000092       0.000092       0.000092
     -8.358358       0.000093       0.000093       0.000093       0.000093
     -8.318318       0.000093       0.000093       0.000093       0.000093
     -8.278278       0.000094       0.000094       0.000094       0.000094
     -8.238238       0.000095       0.000095       0.000095       0.000095
     -8.198198       0.000095       0.000095       0.000095       0.000095
     -8.158158       0.000096       0.000096       0.000096       0.000096
     -8.118118       0.000096       0.000096       0.000096       0.000096
     -8.078078       0.000097       0.000097       0.000097       0.000097
     -8.038038       0.000098       0.000098       0.000098       0.000098
     -7.997998       0.000098       0.000098       0.000098       0.000098
     -7.957958       0.000099       0.000099       0.000099       0.000099
     -7.917918       0.000099       0.000099       0.000099       0.000099
     -7.877878       0.000100       0.000100       0.000100       0.000100
     -7.837838       0.000101       0.000101       0.000101       0.000101
     -7.797798       0.000101       0.000101       0.000101       0.000101
     -7.757758       0.000102       0.000102       0.000102       0.000102
     -7.717718       0.000103       0.000103       0.000103       0.000103
     -7.677678       0.000103       0.000103       0.000103       0.000103
     -7.637638       0.000104       0.000104       0.000104       0.000104
     -7.597598       0.000105       0.000105       0.000105       0.000105
     -7.557558       0.000105       0.000105       0.000105       0.000105
     -7.517518       0.000106       0.000106       0.000106       0.000106
     -7.477477       0.000107       0.000107       0.000107       0.000107
     -7.437437       0.000107       0.000107       0.000107       0.000107
     -7.397397       0.000108       0.000108       0.000108       0.000108
     -7.357357       0.000109       0.000109       0.000109       0.000109
     -7.317317       0.000110       0.000110       0.000110       0.000110
     -7.277277       0.000110       0.000110       0.000110       0.000110
     -7.237237       0.000111       0.000111       0.000111       0.000111
     -7.197197       0.000112       0.000112       0.000112       0.000112
     -7.157157       0.000113       0.000113       0.000113       0.000113
     -7.117117       0.000113       0.000113       0.000113       0.000113
     -7.077077       0.000114       0.000114       0.000114       0.000114
     -7.037037       0.000115       0.000115       0.000115       0.000115
     -6.996997       0.000116       0.000116       0.000116       0.000116
     -6.956957       0.000117       0.000117       0.000117       0.000117
     -6.916917       0.000117       0.000117       0.000117       0.000117
