# ZPE = 1.222549e-01 eV/celda
# T(K)  F(eV)  U(eV)  S(eV/K)  Cv(eV/K)
  0.000000e+00   1.222549e-01   1.222549e-01   0.000000e+00   0.000000e+00
  1.000000e+01   1.222546e-01   1.222561e-01   1.464239e-07   5.289674e-07
  2.000000e+01   1.222473e-01   1.222818e-01   1.723946e-06   6.004101e-06
  3.000000e+01   1.222086e-01   1.224093e-01   6.689041e-06   2.102028e-05
  4.000000e+01   1.221003e-01   1.227231e-01   1.557031e-05   4.229634e-05
  5.000000e+01   1.218873e-01   1.232589e-01   2.743284e-05   6.479326e-05
  6.000000e+01   1.215454e-01   1.240153e-01   4.116414e-05   8.625553e-05
  7.000000e+01   1.210604e-01   1.249797e-01   5.599059e-05   1.064468e-04
  8.000000e+01   1.204235e-01   1.261416e-01   7.147653e-05   1.258413e-04
  9.000000e+01   1.196294e-01   1.274955e-01   8.740100e-05   1.449095e-04
  1.000000e+02   1.186744e-01   1.290395e-01   1.036514e-04   1.638879e-04
  1.100000e+02   1.175555e-01   1.307730e-01   1.201590e-04   1.827892e-04
  1.200000e+02   1.162705e-01   1.326946e-01   1.368675e-04   2.014872e-04
  1.300000e+02   1.148177e-01   1.348014e-01   1.537214e-04   2.197998e-04
  1.400000e+02   1.131958e-01   1.370887e-01   1.706638e-04   2.375452e-04
  1.500000e+02   1.114043e-01   1.395500e-01   1.876378e-04   2.545722e-04
  1.600000e+02   1.094431e-01   1.421774e-01   2.045893e-04   2.707712e-04
  1.700000e+02   1.073127e-01   1.449624e-01   2.214685e-04   2.860741e-04
  1.800000e+02   1.050141e-01   1.478958e-01   2.382314e-04   3.004491e-04
  1.900000e+02   1.025486e-01   1.509683e-01   2.548402e-04   3.138930e-04
  2.000000e+02   9.991794e-02   1.541706e-01   2.712633e-04   3.264243e-04
  2.100000e+02   9.712406e-02   1.574938e-01   2.874750e-04   3.380761e-04
  2.200000e+02   9.416921e-02   1.609293e-01   3.034551e-04   3.488914e-04
  2.300000e+02   9.105579e-02   1.644690e-01   3.191880e-04   3.589191e-04
  2.400000e+02   8.778632e-02   1.681053e-01   3.346622e-04   3.682103e-04
  2.500000e+02   8.436343e-02   1.718309e-01   3.498700e-04   3.768169e-04
  2.600000e+02   8.078982e-02   1.756395e-01   3.648064e-04   3.847898e-04
  2.700000e+02   7.706822e-02   1.795248e-01   3.794688e-04   3.921777e-04
  2.800000e+02   7.320136e-02   1.834812e-01   3.938567e-04   3.990270e-04
  2.900000e+02   6.919199e-02   1.875037e-01   4.079713e-04   4.053811e-04
  3.000000e+02   6.504284e-02   1.915873e-01   4.218150e-04   4.112801e-04
  3.100000e+02   6.075658e-02   1.957279e-01   4.353913e-04   4.167615e-04
  3.200000e+02   5.633589e-02   1.999213e-01   4.487044e-04   4.218595e-04
  3.300000e+02   5.178336e-02   2.041639e-01   4.617592e-04   4.266056e-04
  3.400000e+02   4.710155e-02   2.084523e-01   4.745611e-04   4.310285e-04
  3.500000e+02   4.229296e-02   2.127835e-01   4.871158e-04   4.351545e-04
  3.600000e+02   3.736004e-02   2.171545e-01   4.994291e-04   4.390077e-04
  3.700000e+02   3.230516e-02   2.215628e-01   5.115071e-04   4.426098e-04
  3.800000e+02   2.713066e-02   2.260059e-01   5.233560e-04   4.459809e-04
  3.900000e+02   2.183878e-02   2.304817e-01   5.349819e-04   4.491390e-04
  4.000000e+02   1.643174e-02   2.349881e-01   5.463908e-04   4.521007e-04
  4.100000e+02   1.091167e-02   2.395231e-01   5.575889e-04   4.548811e-04
  4.200000e+02   5.280647e-03   2.440851e-01   5.685821e-04   4.574940e-04
  4.300000e+02  -4.593084e-04   2.486725e-01   5.793763e-04   4.599520e-04
  4.400000e+02  -6.306234e-03   2.532837e-01   5.899771e-04   4.622665e-04
  4.500000e+02  -1.225822e-02   2.579174e-01   6.003902e-04   4.644479e-04
  4.600000e+02  -1.831343e-02   2.625722e-01   6.106210e-04   4.665060e-04
  4.700000e+02  -2.447006e-02   2.672471e-01   6.206748e-04   4.684495e-04
  4.800000e+02  -3.072635e-02   2.719409e-01   6.305567e-04   4.702864e-04
  4.900000e+02  -3.708063e-02   2.766525e-01   6.402717e-04   4.720241e-04
  5.000000e+02  -4.353125e-02   2.813810e-01   6.498246e-04   4.736695e-04
  5.100000e+02  -5.007660e-02   2.861256e-01   6.592200e-04   4.752287e-04
  5.200000e+02  -5.671514e-02   2.908854e-01   6.684625e-04   4.767075e-04
  5.300000e+02  -6.344535e-02   2.956595e-01   6.775563e-04   4.781111e-04
  5.400000e+02  -7.026578e-02   3.004473e-01   6.865058e-04   4.794445e-04
  5.500000e+02  -7.717500e-02   3.052482e-01   6.953149e-04   4.807121e-04
  5.600000e+02  -8.417163e-02   3.100614e-01   7.039875e-04   4.819181e-04
  5.700000e+02  -9.125431e-02   3.148864e-01   7.125275e-04   4.830663e-04
  5.800000e+02  -9.842175e-02   3.197225e-01   7.209384e-04   4.841603e-04
