# Funciones ópticas — Olla-DFT (promedio isótropo)
#      E(eV)         eps1         eps2          n          k    alpha(1/cm)          R
  0.000000e+00   1.044216e+01   0.000000e+00   3.231434e+00   0.000000e+00   0.000000e+00   2.780948e-01
  1.877347e-02   1.044233e+01   0.000000e+00   3.231459e+00   0.000000e+00   0.000000e+00   2.780978e-01
  3.754693e-02   1.044283e+01   0.000000e+00   3.231536e+00   0.000000e+00   0.000000e+00   2.781069e-01
  5.632040e-02   1.044366e+01   0.000000e+00   3.231664e+00   0.000000e+00   0.000000e+00   2.781220e-01
  7.509387e-02   1.044482e+01   0.000000e+00   3.231844e+00   0.000000e+00   0.000000e+00   2.781432e-01
  9.386733e-02   1.044631e+01   0.000000e+00   3.232075e+00   0.000000e+00   0.000000e+00   2.781704e-01
  1.126408e-01   1.044814e+01   0.000000e+00   3.232358e+00   0.000000e+00   0.000000e+00   2.782037e-01
  1.314143e-01   1.045030e+01   0.000000e+00   3.232692e+00   0.000000e+00   0.000000e+00   2.782430e-01
  1.501877e-01   1.045279e+01   0.000000e+00   3.233077e+00   0.000000e+00   0.000000e+00   2.782884e-01
  1.689612e-01   1.045562e+01   0.000000e+00   3.233515e+00   0.000000e+00   0.000000e+00   2.783399e-01
  1.877347e-01   1.045878e+01   0.000000e+00   3.234004e+00   0.000000e+00   0.000000e+00   2.783975e-01
  2.065081e-01   1.046228e+01   0.000000e+00   3.234545e+00   0.000000e+00   0.000000e+00   2.784612e-01
  2.252816e-01   1.046612e+01   0.000000e+00   3.235138e+00   0.000000e+00   0.000000e+00   2.785310e-01
  2.440551e-01   1.047029e+01   0.000000e+00   3.235783e+00   0.000000e+00   0.000000e+00   2.786069e-01
  2.628285e-01   1.047481e+01   0.000000e+00   3.236480e+00   0.000000e+00   0.000000e+00   2.786890e-01
  2.816020e-01   1.047966e+01   0.000000e+00   3.237230e+00   0.000000e+00   0.000000e+00   2.787772e-01
  3.003755e-01   1.048486e+01   0.000000e+00   3.238033e+00   0.000000e+00   0.000000e+00   2.788716e-01
  3.191489e-01   1.049040e+01   0.000000e+00   3.238888e+00   0.000000e+00   0.000000e+00   2.789722e-01
  3.379224e-01   1.049628e+01   0.000000e+00   3.239797e+00   0.000000e+00   0.000000e+00   2.790790e-01
  3.566959e-01   1.050252e+01   0.000000e+00   3.240759e+00   0.000000e+00   0.000000e+00   2.791921e-01
  3.754693e-01   1.050910e+01   0.000000e+00   3.241774e+00   0.000000e+00   0.000000e+00   2.793113e-01
  3.942428e-01   1.051603e+01   0.000000e+00   3.242843e+00   0.000000e+00   0.000000e+00   2.794369e-01
  4.130163e-01   1.052331e+01   0.000000e+00   3.243966e+00   0.000000e+00   0.000000e+00   2.795688e-01
  4.317897e-01   1.053095e+01   0.000000e+00   3.245143e+00   0.000000e+00   0.000000e+00   2.797070e-01
